Geophone Location,Offset (m),Shot 0 (-11m),Shot 1 (0m),Shot 2 (11m),Shot 3 (22m),Shot 4 (33m),Shot 5 (44m),Shot 6 (55m)
1,0,0.02301,0.00483,0.0254,0.0351,0.04476,0.04959,0.07547
1,1,0.02317,0.00621,0.01828,0.03366,0.04283,0.0491,0.07345
1,2,0.02398,0.00862,0.02253,0.03382,0.04122,0.04926,0.07377
1,3,0.02526,0.01069,0.02172,0.03414,0.04138,0.04894,0.07216
1,4,0.02736,0.01701,0.02161,0.03832,0.04202,0.04975,0.06524
1,5,0.02929,0.01782,0.01931,0.03623,0.03977,0.0491,0.0646
1,6,0.028,0.0192,0.01759,0.03156,0.03784,0.04798,0.06057
1,7,,,,,,,
1,8,0.03138,0.02241,0.01103,0.03317,0.03607,0.04685,0.05816
1,9,0.03251,0.02356,0.0077,0.03124,0.03494,0.04556,0.0572
1,10,0.03411,0.02023,0.00598,0.02979,0.0343,0.0446,0.05687
1,11,,,,,,,
2,11,0.03024,0.0229,0.00239,0.02556,0.02979,0.03697,0.0491
2,12,0.03207,0.02455,0.00441,0.02336,0.03366,0.02549,0.04745
2,13,0.03285,0.03145,0.00754,0.02152,0.03218,0.03218,0.04708
2,14,0.03363,0.02717,0.01067,0.02005,0.02998,0.03145,0.04432
2,15,0.03519,0.02731,0.01177,0.01766,0.02906,0.0309,0.04487
2,16,0.0365,0.028,0.01306,0.02133,0.02722,0.0366,0.04432
2,17,0.03598,0.02979,0.01563,0.01618,0.02685,0.0309,0.04414
2,18,,,,,,,
2,19,0.03676,0.03076,0.01802,0.01416,0.02248,0.03457,0.03513
2,20,0.03936,0.03214,0.01968,0.00938,0.0252,0.03292,0.03292
2,21,0.04171,0.03448,0.02152,0.0057,0.02924,0.03366,0.02575
2,22,,,,,,,
3,22,0.04359,0.03549,0.02446,0.00331,0.02703,0.03274,0.03972
3,23,0.04386,0.02476,0.02336,0.00497,0.02483,0.0309,0.03954
3,24,0.04317,0.03641,0.02446,0.00717,0.02391,0.03034,0.03733
3,25,0.04575,0.03807,0.02593,0.01361,0.02428,0.02998,0.03733
3,26,0.04591,0.03899,0.02759,0.016,0.02207,0.02906,0.03697
3,27,0.04752,0.03899,0.02575,0.01692,0.01857,0.0252,0.03605
3,28,0.0472,0.03991,0.0274,0.01839,0.01766,0.03016,0.03531
3,29,,,,,,,
3,30,0.04945,0.04303,0.02979,0.02317,0.01526,0.02593,0.03476
3,31,0.05041,0.04359,0.02998,0.02483,0.00975,0.02575,0.03384
3,32,0.05186,0.04469,0.03071,0.0263,0.0057,0.02299,0.03145
3,33,,,,,,,
4,33,0.03947,0.04349,0.0348,0.02708,0.00306,0.02076,0.02834
4,34,0.03883,0.04366,0.03497,0.02692,0.00499,0.02044,0.02963
4,35,0.03963,0.04382,0.03561,0.02386,0.00837,0.02237,0.02851
4,36,0.04478,0.04575,0.03657,0.02579,0.01432,0.02269,0.02883
4,37,0.04832,0.04752,0.03802,0.02789,0.01577,0.02189,0.02883
4,38,,0.04816,0.03867,0.02756,0.01754,0.02011,0.02722
4,39,0.05379,0.04832,0.03947,0.02901,0.02011,0.01706,0.02561
4,40,,,,,,,
4,41,0.05589,0.04977,0.04076,0.03062,0.02366,0.01384,0.02545
4,42,,0.04913,0.04108,0.02966,0.02414,0.00933,0.02303
4,43,,0.05057,0.04221,0.03078,0.02478,0.00579,0.02754
4,44,,,,,,,
5,44,0.05862,0.05333,0.04156,0.032,0.02648,0.00257,0.02225
5,45,0.05697,0.05297,0.0412,0.03145,0.0309,0.0092,0.01949
5,46,0.05549,0.0526,0.04193,0.03163,0.02225,0.00993,0.01968
5,47,0.05384,0.05389,0.04303,0.0331,0.02354,0.01232,0.02207
5,48,0.05936,0.05536,0.04469,0.01251,0.0252,0.01692,0.01802
5,49,0.06267,0.05609,0.04267,0.01857,0.02501,0.01784,0.01655
5,50,0.06561,0.05775,0.02634,0.02556,0.02538,0.01931,0.01637
5,51,,,,,,,
5,52,,0.05775,0.04763,0.02299,0.02795,0.0228,0.01232
5,53,0.07029,0.05977,0.04929,0.02501,0.02814,0.02464,0.00864
5,54,0.06616,0.06087,0.04984,0.02998,0.02924,0.02556,0.00478
5,55,,,,,,,
